Product,Monthly_Expense,Purchase_Frequency,Is_Seasonal,Label
Toothpaste,1110,19.0,1,0
Laptop,61179,1.7,0,1
Camera,28447,3.08,1,1
Bread,767,28.4,0,0
Luxury Watch,76282,0.06,0,1
Laptop,72121,2.39,1,1
Salt,1892,11.9,0,0
Salt,1024,13.3,0,0
Soap,1088,15.2,0,0
Salt,1264,10.6,0,0
Smart TV,52729,1.87,1,1
Luxury Watch,69305,4.85,1,1
Vegetables,1600,24.0,0,0
Toothpaste,1830,16.6,1,0
Milk,1085,20.7,0,0
Perfume,7455,3.81,1,1
Toothpaste,772,26.3,1,0
Vegetables,1608,14.0,1,0
Soap,1156,26.9,1,0
Luxury Watch,88938,1.62,1,1
Camera,65193,3.92,1,1
Air Conditioner,52269,1.79,1,1
Toothpaste,1668,26.1,0,0
Rice,1117,17.9,0,0
Rice,1341,25.8,0,0
Rice,1299,23.5,0,0
Soap,507,27.4,0,0
Gaming Console,57116,0.97,1,1
Toothpaste,593,25.1,1,0
Cooking Oil,681,13.3,0,0
Laptop,16694,4.48,1,1
Bread,796,24.0,0,0
Smart TV,84599,3.75,1,1
Toothpaste,321,13.8,0,0
Camera,26446,2.83,0,1
Salt,1307,29.7,1,0
Salt,1539,27.1,0,0
Rice,1452,23.5,0,0
Smartphone,47425,3.95,1,1
Smart TV,62742,2.59,1,1
Soap,1006,17.8,1,0
Milk,688,27.7,1,0
Perfume,92386,3.25,1,1
Cooking Oil,1490,16.0,0,0
Air Conditioner,18904,3.54,0,1
Jewelry,87847,0.66,1,1
Rice,1396,29.2,0,0
Milk,957,24.2,0,0
Perfume,24255,2.75,0,1
Rice,621,12.2,0,0
Designer Bag,6862,2.42,0,1
Laptop,36955,2.67,1,1
Camera,79138,1.71,1,1
Luxury Watch,58241,0.07,0,1
Milk,1100,24.0,0,0
Salt,1969,10.5,1,0
Air Conditioner,12594,1.6,0,1
Luxury Watch,31542,3.3,1,1
Eggs,924,18.2,0,0
Toothpaste,1305,25.6,0,0
Gaming Console,58880,4.04,1,1
Laptop,26096,2.2,1,1
Cooking Oil,1729,19.8,0,0
Jewelry,73957,1.92,1,1
Air Conditioner,87847,2.4,1,1
Cooking Oil,289,21.2,0,0
Air Conditioner,49789,3.4,0,1
Vegetables,822,23.6,0,0
Milk,1587,16.8,0,0
Cooking Oil,1762,25.0,1,0
Smart TV,63237,3.43,1,1
Smart TV,24506,3.7,0,1
Smartphone,56819,4.22,1,1
Jewelry,99172,1.16,0,1
Laptop,69327,2.02,0,1
Milk,819,19.9,0,0
Rice,1037,25.5,0,0
Milk,1906,16.0,1,0
Smart TV,38214,4.75,1,1
Jewelry,29151,4.62,1,1
Perfume,17588,4.95,0,1
Rice,1461,14.0,0,0
Gaming Console,23748,2.47,1,1
Jewelry,76145,4.59,1,1
Milk,509,27.8,0,0
Smartphone,94334,0.5,0,1
Smart TV,44243,4.96,1,1
Air Conditioner,48100,3.99,1,1
Luxury Watch,70115,4.5,1,1
Gaming Console,51554,4.79,1,1
Shampoo,1061,27.5,0,0
Salt,642,22.3,0,0
Bread,1513,25.9,0,0
Designer Bag,87566,3.4,1,1
Camera,26069,1.56,1,1
Camera,16196,4.75,1,1
Cooking Oil,901,16.2,0,0
Toothpaste,677,16.0,1,0
Salt,1585,24.6,1,0
Cooking Oil,283,21.3,0,0
Jewelry,44886,1.75,1,1
Eggs,861,17.8,0,0
Luxury Watch,87463,4.38,1,1
Perfume,90445,3.06,0,1
Perfume,44300,0.68,1,1
Smartphone,91177,0.99,1,1
Shampoo,680,22.4,1,0
Smart TV,62388,0.24,1,1
Smart TV,96780,3.32,1,1
Smart TV,98585,3.77,1,1
Laptop,35938,0.16,0,1
Laptop,12621,2.1,0,1
Toothpaste,1181,16.0,0,0
Perfume,88338,3.67,1,1
Toothpaste,1396,18.2,0,0
Camera,67724,3.96,1,1
Shampoo,1101,20.8,0,0
Eggs,826,24.9,0,0
Laptop,47934,3.95,0,1
Bread,1151,23.0,1,0
Laptop,94189,1.83,1,1
Toothpaste,926,23.3,0,0
Soap,633,22.5,0,0
Air Conditioner,89997,0.11,1,1
Cooking Oil,1891,11.9,0,0
Rice,1536,19.6,0,0
Eggs,1259,20.6,0,0
Milk,1460,28.9,0,0
Soap,1538,19.9,1,0
Gaming Console,94736,3.88,1,1
Toothpaste,1670,25.0,0,0
Soap,1505,11.2,1,0
Salt,1670,12.2,0,0
Toothpaste,324,19.3,1,0
Soap,772,16.9,1,0
Gaming Console,58239,0.29,1,1
Designer Bag,67962,1.68,1,1
Vegetables,1113,24.6,1,0
Smartphone,54949,2.81,0,1
Jewelry,36346,3.38,0,1
Perfume,98256,4.22,1,1
Vegetables,1818,13.4,0,0
Designer Bag,44797,0.66,1,1
Bread,268,26.0,1,0
Cooking Oil,954,16.1,0,0
Rice,809,17.1,0,0
Soap,483,16.3,0,0
Designer Bag,38004,2.89,0,1
Cooking Oil,897,14.5,1,0
Smartphone,42348,3.72,0,1
Designer Bag,57044,0.54,1,1
Rice,299,18.7,0,0
Luxury Watch,59348,4.15,1,1
Toothpaste,1138,24.4,0,0
Smartphone,91720,3.27,1,1
Camera,42200,4.7,1,1
Vegetables,257,15.3,1,0
Salt,702,20.2,1,0
Rice,971,14.0,1,0
Milk,932,19.2,0,0
Shampoo,1352,12.0,0,0
Shampoo,521,20.1,0,0
Bread,1738,24.8,0,0
Gaming Console,49432,1.08,1,1
Rice,826,12.3,0,0
Vegetables,1437,10.2,0,0
Smartphone,51493,4.47,1,1
Gaming Console,59140,3.66,0,1
Vegetables,663,27.4,0,0
Camera,38199,2.6,0,1
Luxury Watch,16816,0.06,1,1
Bread,1525,20.9,1,0
Smart TV,42921,3.02,0,1
Jewelry,30374,0.43,0,1
Designer Bag,26786,0.74,1,1
Camera,15970,2.64,1,1
Camera,79528,4.15,1,1
Smartphone,79138,4.93,1,1
Camera,22476,2.21,1,1
Jewelry,22205,0.82,1,1
Air Conditioner,86511,0.25,0,1
Bread,436,23.3,0,0
Eggs,1092,19.2,0,0
Bread,1589,27.1,0,0
Camera,71118,2.43,1,1
Shampoo,1328,27.2,0,0
Jewelry,50657,0.38,1,1
Smartphone,14930,1.5,1,1
Camera,73275,1.77,1,1
Milk,1542,28.6,1,0
Camera,59394,4.18,1,1
Designer Bag,62914,1.16,1,1
Toothpaste,198,21.3,0,0
Laptop,38583,4.25,1,1
Air Conditioner,80661,4.96,0,1
Cooking Oil,1298,22.7,1,0
Toothpaste,1498,24.1,0,0
Milk,362,21.9,0,0
Laptop,74112,0.46,1,1
Bread,838,12.9,1,0
Milk,407,23.3,0,0
Soap,1781,26.8,1,0
Smart TV,83272,1.42,1,1
Designer Bag,34366,4.12,0,1
Salt,1180,14.7,0,0
Air Conditioner,12001,4.81,1,1
Toothpaste,1833,10.7,0,0
Camera,79584,1.85,1,1
Bread,1074,22.7,1,0
Cooking Oil,917,24.8,0,0
Shampoo,738,18.8,1,0
Salt,111,12.9,1,0
Bread,1444,22.0,0,0
Bread,332,23.2,0,0
Smartphone,25243,4.88,0,1
Perfume,70567,3.31,1,1
Laptop,93867,3.05,1,1
Air Conditioner,6037,3.34,0,1
Cooking Oil,428,23.2,1,0
Smart TV,80214,4.12,1,1
Perfume,60323,4.62,1,1
Vegetables,1664,13.4,0,0
Laptop,45392,3.73,1,1
Camera,49163,0.71,1,1
Air Conditioner,54708,3.13,1,1
Shampoo,873,26.1,0,0
Smart TV,78943,2.13,1,1
Jewelry,21535,1.46,1,1
Shampoo,1505,19.2,0,0
Luxury Watch,60670,1.1,1,1
Gaming Console,52385,1.9,0,1
Bread,947,13.8,0,0
Perfume,46017,4.53,1,1
Rice,459,13.3,1,0
Milk,1045,30.0,0,0
Bread,1619,18.1,0,0
Laptop,12012,3.21,0,1
Air Conditioner,90946,3.33,1,1
Cooking Oil,710,21.2,0,0
Camera,32428,1.9,1,1
Cooking Oil,870,28.8,0,0
Camera,53981,4.64,1,1
Gaming Console,62200,4.29,1,1
Vegetables,1760,15.1,0,0
Air Conditioner,48606,1.19,1,1
Jewelry,95133,3.46,1,1
Jewelry,82947,2.39,1,1
Eggs,1407,15.3,0,0
Perfume,69490,0.59,0,1
Salt,697,28.7,0,0
Eggs,649,11.3,0,0
Milk,880,19.9,1,0
Toothpaste,1617,12.4,1,0
Soap,1341,16.0,0,0
Salt,1801,25.1,0,0
Toothpaste,906,22.1,0,0
Smartphone,83452,0.67,0,1
Toothpaste,714,15.3,0,0
Laptop,73138,1.66,0,1
Designer Bag,64387,2.12,1,1
Air Conditioner,15248,0.78,1,1
Vegetables,913,10.1,0,0
Shampoo,160,25.9,0,0
Milk,558,22.4,0,0
Soap,1457,21.9,0,0
Bread,1009,13.2,0,0
Vegetables,294,26.2,0,0
Salt,930,25.2,0,0
Shampoo,1855,24.8,0,0
Perfume,66469,3.15,1,1
Perfume,11742,0.91,0,1
Bread,1318,24.3,0,0
Air Conditioner,94427,1.36,1,1
Soap,815,23.0,0,0
Bread,613,18.1,0,0
Vegetables,348,14.6,0,0
Jewelry,50801,0.76,1,1
Soap,1491,20.2,0,0
Air Conditioner,17747,4.85,1,1
Rice,1587,19.7,0,0
Smartphone,75056,2.71,1,1
Smartphone,25131,1.41,1,1
Vegetables,547,29.4,0,0
Milk,346,16.1,0,0
Toothpaste,1763,26.5,0,0
Jewelry,38946,4.47,1,1
Designer Bag,9234,0.47,1,1
Shampoo,1024,19.9,0,0
Shampoo,442,18.2,0,0
Laptop,26780,3.44,1,1
Camera,16717,3.93,1,1
Rice,1737,17.9,0,0
Luxury Watch,91628,1.91,1,1
Jewelry,53288,2.38,1,1
Cooking Oil,1901,13.1,0,0
Toothpaste,1903,21.6,1,0
Smartphone,45284,3.93,1,1
Smart TV,77211,3.82,0,1
Salt,807,14.4,0,0
Shampoo,1278,16.0,0,0
Smart TV,77942,3.44,1,1
Designer Bag,89076,4.49,0,1
Smartphone,97662,1.78,1,1
Smartphone,91586,4.26,0,1
Bread,228,19.7,0,0
Camera,38510,1.1,0,1
Bread,1912,29.4,1,0
Shampoo,405,26.3,1,0
Vegetables,305,24.0,0,0
Jewelry,76333,0.44,0,1
Designer Bag,42218,4.1,1,1
Air Conditioner,75567,2.49,1,1
Cooking Oil,1491,27.3,1,0
Milk,223,16.6,0,0
Vegetables,981,15.8,1,0
Milk,594,18.3,1,0
Vegetables,852,28.5,1,0
Bread,1879,17.2,1,0
Toothpaste,1890,14.4,0,0
Laptop,44003,3.91,0,1
Perfume,98105,3.94,0,1
Camera,89153,2.06,1,1
Salt,1741,15.1,1,0
Smart TV,96579,3.56,0,1
Salt,1544,13.6,0,0
Bread,1413,25.6,0,0
Rice,658,28.0,0,0
Camera,21713,0.66,1,1
Rice,1004,13.9,1,0
Vegetables,671,24.2,0,0
Designer Bag,35491,0.59,1,1
Laptop,38997,0.58,1,1
Air Conditioner,48534,1.8,0,1
Luxury Watch,39302,2.57,1,1
Toothpaste,1841,22.4,0,0
Laptop,97654,3.31,1,1
Shampoo,1736,21.5,1,0
Rice,1431,25.7,0,0
Milk,295,12.0,0,0
Luxury Watch,30236,1.04,0,1
Salt,1939,22.2,0,0
Rice,329,20.9,1,0
Air Conditioner,50592,4.4,1,1
Milk,1825,28.2,0,0
Camera,23563,2.81,1,1
Bread,1947,17.1,0,0
Eggs,160,19.0,0,0
Jewelry,69825,0.32,1,1
Shampoo,2000,18.9,0,0
Designer Bag,35264,2.28,0,1
Rice,934,12.0,0,0
Gaming Console,75316,2.37,1,1
Eggs,1315,23.2,0,0
Smart TV,81652,2.16,1,1
Luxury Watch,48577,1.37,1,1
Perfume,17240,1.27,1,1
Shampoo,1347,25.3,0,0
Luxury Watch,12400,1.39,0,1
Bread,1393,13.8,1,0
Perfume,14336,4.88,1,1
Cooking Oil,172,19.6,0,0
Jewelry,65972,2.21,1,1
Shampoo,1920,14.6,0,0
Gaming Console,5108,2.69,0,1
Toothpaste,239,18.6,1,0
Air Conditioner,60968,4.38,1,1
Toothpaste,1327,29.2,0,0
Smartphone,25189,0.2,1,1
Cooking Oil,658,21.8,0,0
Milk,1151,22.1,0,0
Designer Bag,28871,3.72,1,1
Smartphone,22418,2.89,0,1
Vegetables,468,25.2,0,0
Smartphone,13663,3.19,0,1
Air Conditioner,77438,4.11,1,1
Perfume,96706,4.66,0,1
Bread,1515,22.2,0,0
Smart TV,8564,4.85,0,1
Laptop,48700,0.52,0,1
Air Conditioner,53427,2.02,1,1
Cooking Oil,986,10.2,0,0
Bread,985,16.7,1,0
Eggs,1477,20.6,1,0
Camera,50444,3.01,1,1
Vegetables,1164,15.0,0,0
Laptop,23728,3.86,1,1
Jewelry,55141,2.3,1,1
Toothpaste,541,24.7,0,0
Bread,1354,23.8,0,0
Smart TV,45255,0.21,0,1
Bread,710,26.4,0,0
Designer Bag,19712,4.45,0,1
Cooking Oil,364,20.5,0,0
Rice,1283,15.2,0,0
Milk,474,17.2,1,0
Soap,954,28.3,1,0
Rice,869,23.2,0,0
Salt,1480,23.0,1,0
Salt,721,28.0,1,0
Smartphone,23994,4.78,1,1
Smartphone,21041,2.98,1,1
Camera,71241,2.0,1,1
Vegetables,1599,21.9,0,0
Jewelry,46810,2.75,1,1
Toothpaste,1456,18.6,0,0
Jewelry,97632,1.78,1,1
Jewelry,18666,4.7,0,1
Jewelry,38138,2.41,1,1
Eggs,1223,24.1,1,0
Eggs,1504,20.1,1,0
Laptop,50758,0.98,0,1
Rice,1375,29.3,0,0
Gaming Console,47670,2.46,1,1
Rice,882,21.9,0,0
Smartphone,79585,4.12,1,1
Rice,1406,16.0,0,0
Vegetables,822,19.7,0,0
Cooking Oil,771,14.3,0,0
Jewelry,88284,2.27,1,1
Vegetables,1933,30.0,0,0
Eggs,1423,19.9,0,0
Gaming Console,74427,0.58,0,1
Toothpaste,844,23.2,0,0
Rice,926,15.0,1,0
Designer Bag,66461,4.7,0,1
Soap,957,26.8,0,0
Milk,1926,22.5,0,0
Eggs,243,15.1,0,0
Jewelry,78407,1.65,0,1
Perfume,55463,0.99,1,1
Camera,68769,1.98,1,1
Rice,1662,25.0,1,0
Salt,1006,29.8,1,0
Gaming Console,45068,4.42,1,1
Gaming Console,33920,1.89,1,1
Designer Bag,40654,2.25,1,1
Jewelry,35095,0.57,0,1
Luxury Watch,73539,2.32,1,1
Designer Bag,56617,1.7,1,1
Eggs,208,28.3,1,0
Bread,1090,12.1,0,0
Rice,595,23.2,0,0
Laptop,28262,2.2,1,1
Shampoo,1544,20.7,1,0
Vegetables,1014,16.9,0,0
Toothpaste,1407,18.5,1,0
Air Conditioner,29342,0.77,1,1
Jewelry,65147,0.56,1,1
Perfume,92473,0.44,1,1
Bread,1655,15.8,0,0
Soap,1909,27.6,0,0
Toothpaste,401,13.6,1,0
Eggs,905,24.3,0,0
Perfume,81360,4.41,1,1
Shampoo,1411,28.9,1,0
Perfume,74436,3.42,1,1
Jewelry,13858,1.17,1,1
Jewelry,98854,0.33,0,1
Camera,26245,2.1,1,1
Smart TV,80893,1.42,0,1
Shampoo,1520,13.9,0,0
Bread,1498,10.9,0,0
Smartphone,38800,1.14,1,1
Laptop,46112,3.55,1,1
Luxury Watch,45512,0.22,0,1
Cooking Oil,1222,16.9,1,0
Designer Bag,34825,4.5,1,1
Smart TV,6011,0.66,1,1
Smart TV,60433,4.91,1,1
Designer Bag,48798,3.49,1,1
Eggs,526,13.1,0,0
Luxury Watch,5351,4.78,1,1
Luxury Watch,94650,3.41,1,1
Smartphone,16544,0.4,1,1
Milk,1473,27.9,0,0
Eggs,685,25.0,0,0
Salt,579,14.0,1,0
Salt,277,13.1,0,0
Designer Bag,5390,5.0,1,1
Toothpaste,131,28.6,1,0
Designer Bag,34885,0.35,0,1
Shampoo,1256,15.9,0,0
Salt,1112,15.3,0,0
Milk,1889,21.0,1,0
Soap,1770,21.4,1,0
Perfume,87390,1.98,1,1
Designer Bag,70235,1.09,0,1
Vegetables,239,27.2,0,0
Jewelry,43921,4.03,0,1
Laptop,64123,1.66,1,1
Cooking Oil,753,11.3,0,0
Vegetables,1847,29.8,0,0
Luxury Watch,29810,1.4,1,1
Gaming Console,23279,1.7,1,1
Soap,1631,16.2,0,0
Jewelry,63475,1.93,1,1
Vegetables,1090,25.8,0,0
Milk,1940,22.8,0,0
Soap,1930,10.5,1,0
Laptop,90366,2.8,1,1
Soap,1885,15.2,0,0
Jewelry,96411,0.53,1,1
Designer Bag,63677,0.97,0,1
Vegetables,1716,12.9,1,0
Gaming Console,71065,4.28,1,1
Gaming Console,46428,1.4,1,1
Smartphone,20683,2.14,1,1
Soap,325,20.6,1,0
Bread,328,27.7,0,0
Milk,1576,30.0,1,0
Eggs,697,15.3,0,0
Luxury Watch,15722,2.04,1,1
Soap,1595,25.1,1,0
Salt,1618,14.0,0,0
Smartphone,25607,2.22,1,1
Salt,416,14.2,0,0
Vegetables,1664,13.1,1,0
Laptop,78496,3.09,0,1
Soap,1349,27.3,0,0
Toothpaste,1427,10.3,0,0
Perfume,89210,0.56,0,1
Gaming Console,90918,4.4,0,1
Soap,802,24.6,0,0
Soap,723,18.6,0,0
Perfume,24636,0.63,1,1
Cooking Oil,909,13.5,0,0
Soap,555,10.6,1,0
Rice,1429,29.1,0,0
Designer Bag,98645,3.3,1,1
Eggs,1576,17.3,1,0
Luxury Watch,18498,3.11,1,1
Soap,355,18.7,0,0
Cooking Oil,1813,13.8,1,0
Air Conditioner,53491,0.23,1,1
Shampoo,197,17.3,0,0
Toothpaste,521,10.5,0,0
Bread,152,28.1,0,0
Smartphone,26915,4.04,1,1
Smartphone,83155,4.17,1,1
Bread,1982,23.4,0,0
Shampoo,1578,20.9,0,0
Laptop,29033,3.18,1,1
Toothpaste,421,20.8,1,0
Cooking Oil,688,21.9,0,0
Shampoo,563,25.7,0,0
Laptop,81828,1.62,1,1
Eggs,238,21.2,0,0
Camera,79600,2.58,1,1
Luxury Watch,46954,4.76,0,1
Eggs,909,21.7,0,0
Toothpaste,1149,16.2,0,0
Air Conditioner,97482,2.61,1,1
Designer Bag,18661,4.92,1,1
Rice,1153,21.1,1,0
Laptop,78816,3.87,1,1
Gaming Console,71842,0.1,1,1
Perfume,52602,4.34,1,1
Milk,371,16.2,0,0
Jewelry,93459,1.78,0,1
Vegetables,1008,19.2,0,0
Eggs,1011,23.4,0,0
Bread,530,29.6,0,0
Smart TV,98768,1.2,0,1
Rice,195,23.8,0,0
Eggs,1535,30.0,0,0
Smart TV,70006,4.93,0,1
Eggs,1293,24.5,0,0
Perfume,20017,0.13,1,1
Milk,193,21.8,0,0
Eggs,1239,10.9,0,0
Toothpaste,733,21.8,0,0
Rice,1788,23.2,0,0
Jewelry,83280,2.77,0,1
Designer Bag,84543,0.45,1,1
Laptop,61652,3.87,0,1
Laptop,68756,4.1,1,1
Smartphone,24742,0.47,1,1
Air Conditioner,63075,4.05,1,1
Shampoo,1481,16.4,0,0
Bread,1683,13.9,1,0
Smart TV,94565,2.39,0,1
Vegetables,1478,16.4,0,0
Cooking Oil,832,20.9,1,0
Rice,1518,23.9,0,0
Smart TV,97484,1.09,0,1
Bread,1068,19.3,0,0
Shampoo,1525,15.7,1,0
Soap,1742,15.0,0,0
Vegetables,692,27.5,0,0
Camera,61819,2.55,0,1
Camera,28369,4.45,0,1
Camera,8336,4.47,0,1
Smart TV,55427,1.17,1,1
Salt,1874,18.2,0,0
Milk,1861,17.1,0,0
Air Conditioner,52848,0.84,0,1
Luxury Watch,58089,2.69,1,1
Air Conditioner,37771,4.07,1,1
Laptop,5767,4.57,0,1
Luxury Watch,45754,3.93,1,1
Designer Bag,72879,1.73,1,1
Rice,1950,22.8,0,0
Rice,1387,20.5,0,0
Designer Bag,18921,1.08,1,1
Luxury Watch,16826,2.41,1,1
Cooking Oil,698,29.1,0,0
Air Conditioner,41692,1.11,1,1
Jewelry,51409,2.67,1,1
Camera,98837,3.9,1,1
Perfume,53775,4.64,1,1
Perfume,24142,0.08,1,1
Camera,65798,1.52,1,1
Luxury Watch,12855,0.22,0,1
Laptop,48461,4.92,0,1
Smart TV,88711,4.78,1,1
Smart TV,48522,1.13,0,1
Designer Bag,25995,3.4,1,1
Gaming Console,73772,4.6,1,1
Soap,1428,21.8,1,0
Smart TV,34652,1.11,1,1
Camera,18511,0.5,1,1
Laptop,42524,3.66,0,1
Shampoo,1935,27.7,1,0
Laptop,60360,1.87,1,1
Perfume,98926,2.45,1,1
Soap,1734,28.9,0,0
Bread,895,21.4,1,0
Toothpaste,1342,27.4,0,0
Luxury Watch,91343,1.98,1,1
Smart TV,94253,3.81,1,1
Soap,573,14.0,1,0
Camera,75613,4.55,1,1
Toothpaste,1121,23.9,0,0
Eggs,1642,18.3,0,0
Shampoo,668,22.4,0,0
Laptop,77436,4.85,1,1
Eggs,411,20.6,1,0
Rice,1786,15.8,1,0
Eggs,1097,16.0,0,0
Camera,81259,4.16,1,1
Jewelry,52997,1.28,1,1
Air Conditioner,94530,0.13,1,1
Gaming Console,14396,1.74,1,1
Soap,737,19.7,0,0
Salt,975,21.2,0,0
Bread,291,27.2,1,0
Vegetables,695,23.2,0,0
Eggs,1087,21.1,0,0
Smartphone,85405,3.48,1,1
Laptop,17772,0.97,0,1
Vegetables,1035,26.4,0,0
Rice,625,19.9,0,0
Gaming Console,18416,4.56,1,1
Smartphone,71583,3.37,0,1
Bread,1616,16.2,0,0
Camera,37121,3.52,1,1
Toothpaste,1501,23.8,0,0
Cooking Oil,719,13.7,0,0
Salt,1379,14.8,0,0
Salt,466,22.3,0,0
Eggs,834,10.2,0,0
Air Conditioner,55357,4.74,1,1
Milk,110,24.8,0,0
Soap,1543,15.1,0,0
Bread,922,29.1,0,0
Perfume,63012,0.56,1,1
Bread,1763,18.5,1,0
Shampoo,1058,24.0,1,0
Camera,20336,2.58,0,1
Jewelry,61113,3.05,1,1
Shampoo,649,29.9,1,0
Cooking Oil,855,18.3,0,0
Air Conditioner,52543,0.44,1,1
Smart TV,61477,3.86,1,1
Designer Bag,73501,2.4,0,1
Toothpaste,1723,19.0,1,0
Gaming Console,28240,1.36,0,1
Luxury Watch,12190,0.55,0,1
Smart TV,13666,2.78,1,1
Cooking Oil,1055,27.6,0,0
Salt,1542,21.2,1,0
Smartphone,39415,0.57,1,1
Vegetables,1355,21.6,1,0
Vegetables,606,11.2,0,0
Designer Bag,30849,0.08,1,1
Perfume,49361,1.38,1,1
Smartphone,66822,3.57,1,1
Eggs,298,16.5,0,0
Soap,1084,22.5,0,0
Shampoo,1842,13.4,0,0
Soap,1013,14.5,0,0
Gaming Console,45504,4.99,1,1
Cooking Oil,1785,11.4,0,0
Gaming Console,44831,4.94,1,1
Eggs,1005,16.7,1,0
Jewelry,75913,2.63,1,1
Salt,528,12.9,0,0
Camera,60466,3.32,0,1
Designer Bag,22745,4.96,1,1
Cooking Oil,824,28.7,0,0
Perfume,56745,2.29,1,1
Designer Bag,8945,2.85,1,1
Jewelry,30096,4.38,1,1
Perfume,26120,1.09,1,1
Camera,67817,1.32,0,1
Jewelry,48254,2.76,1,1
Jewelry,95133,1.45,0,1
Jewelry,21377,2.57,1,1
Smartphone,66701,2.29,0,1
Salt,807,24.8,1,0
Air Conditioner,52400,1.95,0,1
Smartphone,97797,2.24,0,1
Laptop,11057,0.98,1,1
Perfume,39740,3.63,1,1
Rice,1384,25.0,0,0
Rice,397,12.4,1,0
Gaming Console,16944,1.36,1,1
Designer Bag,68531,4.11,0,1
Luxury Watch,40280,2.19,1,1
Smartphone,87468,1.13,1,1
Perfume,32051,2.56,0,1
Soap,338,11.1,0,0
Luxury Watch,85209,3.79,0,1
Vegetables,814,16.8,0,0
Toothpaste,104,28.3,0,0
Gaming Console,71822,3.9,0,1
Eggs,218,23.3,0,0
Gaming Console,11912,3.23,1,1
Bread,1939,23.4,1,0
Bread,1596,16.5,0,0
Eggs,921,28.9,0,0
Shampoo,1816,25.7,0,0
Jewelry,39444,0.92,1,1
Designer Bag,40734,4.84,0,1
Smartphone,10845,4.43,1,1
Gaming Console,6452,0.26,1,1
Milk,678,27.8,0,0
Milk,624,24.7,0,0
Shampoo,1367,14.5,1,0
Perfume,61634,1.89,0,1
Laptop,64734,2.85,1,1
Luxury Watch,90220,3.46,1,1
Toothpaste,378,18.5,0,0
Designer Bag,31911,4.74,1,1
Camera,22976,0.21,1,1
Rice,265,25.2,0,0
Laptop,22470,3.7,0,1
